word,id,cnt
BAKED,1208,1049
CARROT,1209,1046
C5~4482,1210,1046
C6~13764,1211,1046
C7~28598,1212,1046
C4~844,1213,1046
TRUE,1214,1045
C4~479,1215,1044
OFF,1216,1042
49,1217,1041
HAWAIIAN,1218,1041
C4~683,1219,1041
C5~2542,1220,1040
C6~8147,1221,1040
C7~15930,1222,1040
LADIES,1223,1038
C6~11411,1224,1037
C7~38408,1225,1037
C3~52,1226,1036
TIME,1227,1035
C7~42898,1228,1034
NAT,1229,1033
C5~1367,1230,1033
C4~890,1231,1033
C5~68,1232,1032
SUSHI,1233,1031
C5~1330,1234,1031
SELTZER,1235,1031
MERLOT,1236,1031
FILLED,1237,1028
C5~6145,1238,1025
C6~4553,1239,1022
C7~9214,1240,1022
C3~26,1241,1019
C6~1664,1242,1019
LEAN,1243,1018
SPREAD,1244,1018
WINGS,1245,1017
SEAHAWKS,1246,1016
C5~5623,1247,1016
COLLECTION,1248,1015
C6~13674,1249,1015
C5~12,1250,1014
DIAMOND,1251,1014
C5~3608,1252,1014
DEEP,1253,1013
C5~4511,1254,1013
GNOME,1255,1012
CHILE,1256,1009
PLANT,1257,1009
BASE,1258,1008
WALL,1259,1008
C5~3654,1260,1008
C6~11511,1261,1008
C7~24297,1262,1008
CREEK,1263,1007
CHATEAU,1264,1007
GANZ,1265,1005
SEED,1266,1003
C4~458,1267,1003
VELVET,1268,1002
C4~655,1269,1002
C5~3593,1270,1002
C6~11283,1271,1002
C7~23868,1272,1002
C7~6967,1273,1001
MASK,1274,999
C6~13421,1275,999
C7~28014,1276,999
C7~29161,1277,999
C4~889,1278,999
C4~851,1279,998
C5~4749,1280,998
C6~14515,1281,998
C7~29764,1282,998
HEARTS,1283,997
DONUT,1284,997
C5~3613,1285,996
RUM,1286,995
C4~43,1287,995
CLR,1288,993
C5~1408,1289,992
PREVIOUSLY,1290,992
VIDEO,1291,991
WORLD,1292,990
TOMATOES,1293,989
C6~5634,1294,988
C7~42900,1295,987
C6~16624,1296,986
C7~33363,1297,986
LOW,1298,985
SEAFOOD,1299,985
C5~3992,1300,985
MUSTARD,1301,984
C5~5302,1302,984
C6~16535,1303,984
C7~33270,1304,984
PHOTO,1305,983
ASSORTMENT,1306,982
C6~1661,1307,982
DEPOSIT,1308,982
JERKY,1309,980
C5~3618,1310,980
BEE,1311,978
SUCCULENT,1312,978
GREEK,1313,977
REAL,1314,975
C4~699,1315,974
FLOUR,1316,973
CHEF,1317,973
GREY,1318,972
QT,1319,972
APPLES,1320,968
VEGGIE,1321,967
C3~17,1322,966
BALLOON,1323,965
C5~6740,1324,965
C5~6753,1325,965
C5~571,1326,964
C5~4426,1327,964
C6~13593,1328,964
C7~28259,1329,964
BROCCOLI,1330,963
SAN,1331,962
C5~586,1332,962
C5~3655,1333,962
C6~11512,1334,962
